Constituency,ONS Code,Total population,Population weighting,Region,Country,Change,Party,Majority,Turnout,Con,Lab,LD,Grn,Brx,SNP,PC,DUP,SF,APNI,SDLP,UUP,Aontú,PBP,Con (NI),Grn (NI),Other[a],Total,Votes for winner,% majority,Probability,Voter Power Index
Wirral West,E14001589,87880,1.17256101,NW,England,51.3,Lab,455,77.7,24863,25318,3204,1416,1245,0,0,,,,,,,,,,0,56046,25318,1%,0.456542953,1.070648931
High Peak,E14001287,90932,1.133205709,EM,England,none,Con,590,73.2,24844,24254,2750,1148,1177,0,0,,,,,,,,,,0,54173,24844,1%,0.44258322,1.003075663
Warrington South,E14001565,101668,1.013540756,NW,England,11.7,Lab,65,70.6,24008,24073,4415,4,1461,0,0,,,,,,,,,,168,54129,24073,0%,0.493320343,1.000000546
Bangor Aberconwy,W07000083,92264,1.116845807,WA,Wales,57.1,Con,749,68.7,19355,18606,2142,0,455,0,7849,,,,,,,,,,0,48407,19355,2%,0.420443812,0.939141816
North East Fife,S14000100,94300,1.09273236,SC,Scotland,15.7,SNP,728,74.1,7126,2859,20643,0,184,21371,0,,,,,,,,,,0,52183,21371,1%,0.427672612,0.934663406
Alyn and Deeside,W07000082,102072,1.009529171,WA,Wales,20.1,Lab,411,69.2,21963,22374,3095,0,3137,0,1781,,,,,,,,,,0,52350,22374,1%,0.457911927,0.924550896
Coventry North West,E14001181,107290,0.960431182,WM,England,none,Lab,208,65,20710,20918,2717,1443,1956,0,0,,,,,,,,,,0,47744,20918,0%,0.476188856,0.914693253
Burnley,E14001142,109554,0.940583288,NW,England,16.1,Con,127,62.4,19056,18929,3614,847,3362,0,0,,,,,,,,,,1294,47102,19056,0%,0.48512656,0.91260387
Sheffield Hallam,E14001468,92969,1.108376572,YH,England,5.7,Lab,1108,78.4,15435,21004,19896,1799,1641,0,0,,,,,,,,,,291,60066,21004,2%,0.406672702,0.901492992
Leigh and Atherton,E14001329,108177,0.952556103,NW,England,29.7,Con,293,58,19410,19117,2031,154,2572,0,0,,,,,,,,,,999,44283,19410,1%,0.464287007,0.884518845
West Aberdeenshire and Kincardine,S14000058,97800,1.053626396,SC,Scotland,none,Con,843,72.4,22752,2431,6253,0,0,21909,0,,,,,,,,,,0,53345,22752,2%,0.418893544,0.88271459
Heywood and Middleton North,E14001286,100170,1.028697829,NW,England,29.6,Lab,680,57.9,17601,18281,1787,1196,3581,0,0,,,,,,,,,,0,42446,18281,2%,0.41787407,0.859732297
Beckenham and Penge,E14001083,107150,0.961686062,GL,England,84,Lab,631,78.5,23487,24118,9657,2416,464,0,0,,,,,,,,,,0,60142,24118,1%,0.444566449,0.855066715
Carshalton and Wallington,E14001153,105014,0.981246896,GL,England,none,Con,629,67.5,20822,6081,20193,759,1043,0,0,,,,,,,,,,200,49098,20822,1%,0.433167132,0.850087807
Fermanagh and South Tyrone,N05000007,111800,0.921687491,NI,Northern Ireland,10.5,SF,510,69.2,,,,,,,,896,21968,2784,3717,21458,61,,,,751,51635,21968,1%,0.447638264,0.825165176
Ynys Môn,W07000112,68878,1.496046075,WA,Wales,none,Con,1968,69.7,12959,10991,0,0,2184,0,10418,,,,,,,,,,0,36552,12959,5%,0.273578266,0.818571381
Ceredigion Preseli,W07000093,93821,1.098311269,WA,Wales,31.9,PC,1443,69.8,14602,10733,7561,663,2063,0,16045,,,,,,,,,,0,51667,16045,3%,0.365696939,0.803298138
Wimbledon,E14001586,110395,0.933417832,GL,England,29.6,Con,839,76.2,22617,11834,21778,138,139,0,0,,,,,,,,,,366,56872,22617,1%,0.423850552,0.791259327
Bury South,E14001145,106731,0.965461408,NW,England,23.2,Con,935,66.5,21574,20639,3059,900,1847,0,0,,,,,,,,,,1615,49634,21574,2%,0.404893347,0.781817802
Cheltenham,E14001161,100196,1.028430891,SW,England,5.9,Con,1421,75.5,27563,2733,26142,0,0,0,0,,,,,,,,,,445,56883,27563,2%,0.377971865,0.777435883
Rawmarsh and Conisbrough,E14001436,94260,1.09319607,YH,England,67,Lab,1257,57.7,14992,16249,1500,194,6535,0,0,,,,,,,,,,1074,40544,16249,3%,0.353318717,0.772493265
Chesterfield,E14001165,93241,1.105143247,EM,England,none,Lab,1451,63.9,16720,18171,3985,1148,4771,0,0,,,,,,,,,,391,45186,18171,3%,0.348959852,0.771301249
Bury North,E14001144,103159,0.998891629,NW,England,12.6,Con,1282,69.4,25285,24003,1639,939,1446,0,0,,,,,,,,,,158,53470,25285,2%,0.382250522,0.763653694
"Pontefract, Castleford and Knottingley",E14001428,100909,1.021164233,YH,England,14,Lab,1082,56.7,14677,15759,2799,0,6518,0,0,,,,,,,,,,1515,41268,15759,3%,0.372768224,0.761315155
Warwick and Leamington,E14001566,105463,0.977069319,WM,England,12.3,Lab,1169,69.2,21444,22613,5693,1517,721,0,0,,,,,,,,,,220,52208,22613,2%,0.389096198,0.760347914
Mid Dunbartonshire,S14000097,92700,1.111592897,SC,Scotland,11.3,SNP,1986,78,9118,5520,20193,916,0,22179,0,,,,,,,,,,626,58552,22179,3%,0.341969016,0.760260658
Dumfries and Galloway,S14000073,98000,1.051476138,SC,Scotland,5.3,Con,1556,68.3,22999,4923,3135,0,0,21443,0,,,,,,,,,,0,52500,22999,3%,0.358762795,0.754461036
Wolverhampton West,E14001596,112655,0.914692304,WM,England,26.4,Con,934,67.4,24131,23197,2222,124,1264,0,0,,,,,,,,,,0,50938,24131,2%,0.407175671,0.744880905
Leeds North West,E14001322,92720,1.111353123,YH,England,96.6,Con,2001,77.7,23311,21310,8212,1266,729,0,0,,,,,,,,,,844,55672,23311,4%,0.334303833,0.743059218
South Cambridgeshire,E14001481,104912,0.982200907,EE,England,62.2,Con,1498,79.6,26153,9091,24655,96,83,0,0,,,,,,,,,,0,60078,26153,2%,0.378170244,0.742878313
Warrington North,E14001564,96644,1.06622927,NW,England,0.2,Lab,1513,64.3,19054,20567,3055,1253,2617,0,0,,,,,,,,,,0,46546,20567,3%,0.347424279,0.740867871
Dagenham and Rainham,E14001189,119204,0.864439629,GL,England,23,Lab,706,59.7,18970,19676,1338,674,2913,0,0,,,,,,,,,,421,43992,19676,2%,0.417742965,0.722227147
Bedford,E14001084,109962,0.937093374,EE,England,3.3,Lab,1113,66.5,19550,20663,4672,924,794,0,0,,,,,,,,,,0,46603,20663,2%,0.382650933,0.717159308
Kensington and Bayswater,E14001310,132867,0.775547439,GL,England,25.8,Lab,390,72.1,21004,21394,11048,769,453,0,0,,,,,,,,,,145,54813,21394,1%,0.461701682,0.716143115
Coventry South,E14001182,119752,0.860483846,WM,England,37.6,Lab,808,65.9,19912,20720,3152,1238,1348,0,0,,,,,,,,,,435,"46,805",20720,2%,0.41209802,0.709207379
Watford,E14001568,110251,0.934636979,EE,England,29.3,Con,1300,68.4,20285,18985,8570,125,0,0,0,,,,,,,,,,333,48298,20285,3%,0.369868057,0.691384727
Whitehaven and Workington,E14001583,93036,1.107578373,NW,England,65.5,Con,2144,67.3,23904,21760,1953,609,749,0,0,,,,,,,,,,394,49369,23904,4%,0.307419665,0.680982746
Stroud,E14001529,96021,1.07314714,SW,England,22.4,Con,2467,79.6,27733,25266,1356,4857,909,0,0,,,,,,,,,,567,60688,27733,4%,0.317133254,0.680661289
Bolton North East,E14001110,113918,0.904551182,NW,England,14.4,Con,1278,64.7,22436,21158,2188,803,3259,0,0,,,,,,,,,,0,49844,22436,3%,0.37519284,0.678762254
Wycombe,E14001600,106288,0.969485375,SE,England,17.6,Con,1494,65.3,20213,18719,5310,1209,0,0,0,,,,,,,,,,1441,46892,20213,3%,0.349943289,0.678529802
Cheadle,E14001158,95479,1.079239011,NW,England,none,Con,2336,75.8,25694,6851,23358,0,0,0,0,,,,,,,,,,0,55903,25694,4%,0.313123424,0.675870028
Doncaster Central,E14001198,112140,0.918893005,YH,England,13.5,Lab,1271,61.4,16853,18124,1884,1038,7173,0,0,,,,,,,,,,971,46043,18124,3%,0.367027302,0.67451764
Orkney and Shetland,S14000051,45500,2.264717836,SC,Scotland,none,LD,2507,66.5,2287,1550,10381,0,900,7874,0,,,,,,,,,,168,23160,10381,11%,0.148746267,0.673736649
Chingford and Woodford Green,E14001167,111005,0.928288469,GL,England,22.3,Con,1604,72.2,26322,24718,3193,213,160,0,0,,,,,,,,,,0,54606,26322,3%,0.359825291,0.668043337
Oldham East and Saddleworth,E14001415,108607,0.948784715,NW,England,none,Lab,1499,63.2,18589,20088,2423,778,2980,0,0,,,,,,,,,,1306,46164,20088,3%,0.347557728,0.659514919
Lothian East,S14000096,96700,1.065611805,SC,Scotland,13.6,SNP,2207,71.2,13956,15464,3193,0,0,17671,0,,,,,,,,,,493,50777,17671,4%,0.307294023,0.654912277
Birmingham Northfield,E14001097,107788,0.955993817,WM,England,3,Con,1478,59.5,20135,18657,2013,972,1661,0,0,,,,,,,,,,254,43692,20135,3%,0.342317211,0.654506274
South Down,N05000015,105200,0.979511992,NI,Northern Ireland,19.2,SF,1623,62.7,,,,,,,,8162,13863,6212,12240,3460,1070,,,,,45007,13863,4%,0.33386084,0.654041392
Keighley and Ilkley,E14001308,99380,1.036875242,YH,England,none,Con,2218,72.1,25298,23080,2573,0,850,0,0,,,,,,,,,,799,52600,25298,4%,0.311791387,0.646577541
Cramlington and Killingworth,E14001183,96557,1.067189966,NE,England,102.8,Lab,2157,65.6,19174,21331,2520,1192,3855,0,0,,,,,,,,,,0,48072,21331,4%,0.302494144,0.64563743
"Ayr, Carrick and Cumnock",S14000006,91400,1.127403299,SC,Scotland,none,SNP,2329,64.7,17943,6219,2158,0,0,20272,0,,,,,,,,,,0,46592,20272,5%,0.285645728,0.644075872
Newport West and Islwyn,W07000105,101589,1.014328929,WA,Wales,93.7,Lab,2001,63.7,18285,20286,2474,947,4301,0,2244,,,,,,,,,,0,48537,20286,4%,0.315094865,0.639219673
Perth and Kinross-shire,S14000103,102000,1.01024178,SC,Scotland,80.2,SNP,2364,74,23198,2818,4505,0,402,25562,0,,,,,,,,,,0,56485,25562,4%,0.312895017,0.632199237
Eastbourne,E14001219,101689,1.013331447,SE,England,8,Con,2168,69.9,24137,3560,21969,0,1408,0,0,,,,,,,,,,185,51259,24137,4%,0.311345731,0.630992839
Canterbury,E14001151,107270,0.96061025,SE,England,5.7,Lab,2160,75.7,25622,27782,3257,0,0,0,0,,,,,,,,,,505,57166,27782,4%,0.327477546,0.629156574
Gedling,E14001245,101081,1.019426614,EM,England,6.9,Con,2407,71.4,25537,23130,2429,1184,1820,0,0,,,,,,,,,,0,54100,25537,4%,0.303779242,0.619361288
Vale of Glamorgan,W07000110,94390,1.09169045,WA,Wales,8.3,Con,2566,71,24535,21969,0,2981,0,0,0,,,,,,,,,,508,49993,24535,5%,0.281390566,0.614382786
Halifax,E14001262,107584,0.957806565,YH,England,4,Lab,1902,64.1,19917,21819,2302,946,2813,0,0,,,,,,,,,,0,47797,21819,4%,0.320192771,0.613365476
Mid Cheshire,E14001361,94131,1.094694219,NW,England,116,Con,2494,67.2,22022,19528,3934,921,502,0,0,,,,,,,,,,0,46907,22022,5%,0.275645298,0.603494629
Doncaster North,E14001200,96712,1.065479584,YH,England,8.9,Lab,2070,55.9,13286,15356,1446,18,8151,0,0,,,,,,,,,,1813,40070,15356,5%,0.280344899,0.597403532
Aberdeenshire North and Moray East,S14000062,96400,1.068928024,SC,Scotland,48.9,Con,2399,64.2,22174,1914,2028,0,0,19775,0,,,,,,,,,,0,45891,22174,5%,0.278415998,0.595213325
Bridgend,W07000086,95055,1.084053038,WA,Wales,46.2,Con,2553,66,20531,17978,2453,868,2437,0,2441,,,,,,,,,,0,46708,20531,5%,0.271084428,0.587739794
Na h-Eileanan an Iar,S14000027,26600,3.873859456,SC,Scotland,none,SNP,2438,68.4,3216,4093,637,0,0,6531,0,,,,,,,,,,0,14477,6531,17%,0.075828292,0.587496292
"Caithness, Sutherland and Easter Ross",S14000069,97300,1.059040715,SC,Scotland,60.2,SNP,2788,70.1,9139,2799,17710,336,1510,20498,0,,,,,,,,,,728,52720,20498,5%,0.27652929,0.585711555
Stoke-on-Trent Central,E14001520,112941,0.912376033,WM,England,42.6,Con,1715,57.6,19133,17418,1526,802,1731,0,0,,,,,,,,,,0,40610,19133,4%,0.311569102,0.568536362
"Moray West, Nairn and Strathspey",S14000098,103000,1.000433607,SC,Scotland,58.5,SNP,2906,73.8,23035,2606,3307,649,321,25941,0,,,,,,,,,,413,56272,25941,5%,0.280400076,0.561043318
Clwyd North,W07000095,99977,1.030683673,WA,Wales,92.2,Con,2834,67.4,23479,20645,2501,0,951,0,3713,,,,,,,,,,0,51289,23479,6%,0.269278552,0.555082014
Gower,W07000097,96264,1.070438186,WA,Wales,50.4,Lab,3181,70.6,21631,24812,3182,2,1863,0,2741,,,,,,,,,,0,54231,24812,6%,0.259214378,0.554945937
Esher and Walton,E14001230,102929,1.001123702,SE,England,22,Con,3015,76.7,27819,2698,24804,132,0,0,0,,,,,,,,,,725,56178,27819,5%,0.274107045,0.548830119
Edinburgh West,S14000082,105000,0.981377729,SC,Scotland,14.7,LD,2888,71.7,9922,4787,21037,1079,50,18149,0,,,,,,,,,,0,55024,21037,5%,0.27776149,0.54517788
Derby North,E14001193,103235,0.99815626,EM,England,none,Con,2540,65.4,21259,18719,3450,1046,1908,0,0,,,,,,,,,,635,47017,21259,5%,0.273021447,0.545036134
Lancaster and Wyre,E14001318,96833,1.064148189,NW,England,73.9,Con,3012,65.8,23683,20671,1946,2192,890,0,0,,,,,,,,,,0,49382,23683,6%,0.2525165,0.537429952
Wakefield and Rothwell,E14001560,106029,0.971853564,YH,England,114.2,Con,2626,66.4,22022,19396,5361,490,1586,0,0,,,,,,,,,,238,49093,22022,5%,0.274655223,0.533849316
North Down,N05000013,97900,1.052550169,NI,Northern Ireland,4.7,All,2641,60.7,,,,,,,,16541,,19182,,5075,,,1959,,,42757,19182,6%,0.250337564,0.526985691
Belfast East,N05000001,102300,1.007279194,NI,Northern Ireland,14.8,DUP,2626,64.4,,,,,,,,21616,,18990,1939,2581,,,,,,45126,21616,6%,0.260564595,0.524922591
Tynemouth,E14001557,95252,1.081811002,NE,England,19.7,Lab,3512,73.9,21696,25208,3622,1318,2096,0,0,,,,,,,,,,0,53940,25208,7%,0.241141292,0.521738604
Guildford,E14001258,101736,1.012863308,SE,England,45.1,Con,3117,73.7,23708,4411,20591,197,0,0,0,,,,,,,,,,3677,52584,23708,6%,0.257420346,0.521463246
Gordon and Buchan,S14000091,92800,1.11039506,SC,Scotland,48.1,Con,3224,67.8,21874,1666,5401,0,0,18650,0,,,,,,,,,,0,47591,21874,7%,0.234129974,0.519953533
West Bromwich,E14001574,110888,0.929267924,WM,England,73.2,Con,2150,57.3,19580,17430,1468,791,1563,0,0,,,,,,,,,,545,41377,19580,5%,0.279399392,0.519273787
Walsall and Bloxwich,E14001562,117315,0.878358791,WM,England,97.8,Con,2186,60.9,22453,20267,1338,696,588,0,0,,,,,,,,,,288,45630,22453,5%,0.292378389,0.513626257
Leeds West and Pudsey,E14001325,100731,1.022968714,YH,England,95.9,Lab,2963,68.3,20257,23220,1747,687,1330,0,0,,,,,,,,,,727,47968,23220,6%,0.250330041,0.512159601
Cowdenbeath and Kirkcaldy,S14000071,94800,1.086969004,SC,Scotland,36.1,SNP,3220,67,10482,13902,3048,1655,939,17122,0,,,,,,,,,,0,47148,17122,7%,0.232687791,0.505848833
Hyndburn,E14001299,94025,1.095928333,NW,England,none,Con,2951,59.6,20565,17614,1226,845,2156,0,0,,,,,,,,,,0,42406,20565,7%,0.229340766,0.502682086
Nottingham North and Kimberley,E14001411,108748,0.947554544,EM,England,47.1,Lab,2490,57.8,17309,19799,1615,1068,2424,0,0,,,,,,,,,,822,43037,19799,6%,0.261545311,0.495656895
Sunderland Central,E14001531,97414,1.057801359,NE,England,none,Lab,2964,59.8,15372,18336,3025,1212,5047,0,0,,,,,,,,,,484,43476,18336,7%,0.233000825,0.492937178
Broxtowe,E14001140,94546,1.089889171,EM,England,33,Con,3819,73.6,24083,20264,270,1606,364,0,0,,,,,,,,,,6734,53321,24083,7%,0.224176255,0.488654545
Stalybridge and Hyde,E14001515,97355,1.058442417,NW,England,none,Lab,2946,58,16079,19025,1827,1411,3591,0,0,,,,,,,,,,435,42368,19025,7%,0.229483622,0.485790399
