Year,Code,Constituency,PC_Electors,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %,Probability,Normalised population,Index
2017,W07000057,Arfon,41367,Wales,PC,Plaid Cymru,11519,40.84%,28208,PC,92,0.33%,0.482065238,1.741508932,1.679041837
2017,S14000027,Na h-Eileanan an Iar,21301,Scotland,SNP,Scottish National Party,6013,40.58%,14818,SNP,1007,6.80%,0.233569515,3.382047791,1.579886524
2017,W07000064,Ceredigion,54262,Wales,PC,Plaid Cymru,11623,29.23%,39767,PC,104,0.26%,0.485567097,1.327651027,1.28932731
2017,W07000058,Aberconwy,45251,Wales,C,Conservative,14337,44.59%,32150,C,635,1.98%,0.400772941,1.592031115,1.276085984
2017,S14000049,North East Fife,58685,Scotland,SNP,Scottish National Party,13743,32.86%,41822,SNP,2,0.00%,0.49973227,1.22758797,1.226930646
2017,E14000768,Kensington,60588,London,Lab,Labour,16333,42.23%,38677,Lab,20,0.05%,0.497112592,1.189030831,1.182164396
2017,E14000671,Dudley North,62043,West Midlands,Lab,Labour,18090,46.49%,38910,Lab,22,0.06%,0.496843723,1.161146302,1.153816503
2017,W07000065,Preseli Pembrokeshire,58554,Wales,C,Conservative,18302,43.37%,42197,C,314,0.74%,0.460018028,1.230334392,1.131952003
2017,S14000035,Glasgow South West,62991,Scotland,SNP,Scottish National Party,14386,40.66%,35378,SNP,60,0.17%,0.490592205,1.143671318,1.122152467
2017,S14000032,Glasgow North East,59931,Scotland,Lab,Labour,13637,42.92%,31775,Lab,242,0.76%,0.459118494,1.202065709,1.103781197
2017,S14000038,Inverclyde,58853,Scotland,SNP,Scottish National Party,15050,38.50%,39093,SNP,384,0.98%,0.447910537,1.224083734,1.096560005
2017,E14000834,Newcastle-under-Lyme,65596,West Midlands,Lab,Labour,21124,48.18%,43842,Lab,30,0.07%,0.496182704,1.098252942,1.08986823
2017,S14000030,Glasgow East,66242,Scotland,SNP,Scottish National Party,14024,38.77%,36175,SNP,75,0.21%,0.488523532,1.087542647,1.06258035
2017,S14000003,Airdrie and Shotts,64146,Scotland,SNP,Scottish National Party,14291,37.61%,38002,SNP,195,0.51%,0.472074796,1.123078602,1.060354204
2017,S14000057,Stirling,66415,Scotland,C,Conservative,18291,37.06%,49356,C,148,0.30%,0.483486566,1.084709779,1.048885212
2017,E14000964,St Ives,67145,South West,C,Conservative,22120,43.18%,51226,C,312,0.61%,0.467029647,1.072916822,1.002167929
2017,S14000054,Perth and North Perthshire,71762,Scotland,SNP,Scottish National Party,21804,42.32%,51525,SNP,21,0.04%,0.497722814,1.003887852,0.999315773
2017,E14000955,"Southampton, Itchen",71722,South East,C,Conservative,21773,46.54%,46783,C,31,0.07%,0.496302986,1.004447729,0.997020814
2017,E14000543,Barrow and Furness,69474,North West,Lab,Labour,22592,47.47%,47590,Lab,209,0.44%,0.476001638,1.036949074,0.987178915
2017,N06000008,Foyle,70324,Northern Ireland,SF,Sinn Fein,18256,39.72%,45965,SF,169,0.37%,0.479828592,1.024415562,0.983087754
2017,E14000861,Northampton North,58861,East Midlands,C,Conservative,19065,47.22%,40378,C,807,2.00%,0.399719652,1.223917365,0.978447645
2017,S14000047,Motherwell and Wishaw,68215,Scotland,SNP,Scottish National Party,16150,38.52%,41926,SNP,318,0.76%,0.459279256,1.056087371,0.970078043
2017,E14000766,Keighley,71429,Yorkshire and The Humber,Lab,Labour,24066,46.53%,51724,Lab,249,0.48%,0.4737554,1.008567949,0.955629024
2017,E14000863,Norwich North,66924,East,C,Conservative,21900,47.72%,45895,C,507,1.10%,0.441811006,1.076459865,0.951183632
2017,S14000031,Glasgow North,53862,Scotland,SNP,Scottish National Party,12597,37.63%,33473,SNP,1060,3.17%,0.350701061,1.337510675,0.938132826
2017,E14000569,Bishop Auckland,67661,North East,Lab,Labour,20808,48.08%,43281,Lab,502,1.16%,0.439089613,1.064734485,0.935027705
2017,S14000041,Kirkcaldy and Cowdenbeath,72721,Scotland,Lab,Labour,17016,36.84%,46193,Lab,259,0.56%,0.469566864,0.990649193,0.930352071
2017,E14000886,Pudsey,72622,Yorkshire and The Humber,C,Conservative,25550,47.35%,53959,C,331,0.61%,0.466801485,0.99199967,0.926133838
2017,E14001037,Westmorland and Lonsdale,66391,North West,LD,Lib Dem,23686,45.83%,51687,LD,777,1.50%,0.422521702,1.085101896,0.9169582
2017,E14000974,Stoke-on-Trent South,66057,West Midlands,C,Conservative,20451,49.05%,41690,C,663,1.59%,0.418423234,1.090588431,0.912655077
2017,E14000653,Crewe and Nantwich,78895,North West,Lab,Labour,25928,47.12%,55027,Lab,48,0.09%,0.49513891,0.91312504,0.904247473
2017,E14000896,Richmond Park,80025,London,C,Conservative,28588,45.14%,63330,C,45,0.07%,0.496036635,0.900231178,0.893095288
2017,E14000619,Canterbury,78182,South East,Lab,Labour,25572,45.02%,56800,Lab,187,0.33%,0.48189915,0.921452508,0.88809436
2017,E14000989,Telford,68106,West Midlands,C,Conservative,21777,48.73%,44686,C,720,1.61%,0.41744337,1.057777582,0.883124477
2017,S14000042,Lanark and Hamilton East,77313,Scotland,SNP,Scottish National Party,16444,32.58%,50470,SNP,266,0.53%,0.471339656,0.931809657,0.878397686
2017,E14000878,Peterborough,71522,East,Lab,Labour,22950,48.07%,47738,Lab,607,1.27%,0.433632517,1.007256508,0.87355835
2017,E14000636,Chipping Barnet,77218,London,C,Conservative,25679,46.33%,55423,C,353,0.64%,0.46557495,0.932956047,0.868721929
2017,E14000735,Hastings and Rye,78319,South East,C,Conservative,25668,46.87%,54766,C,346,0.63%,0.465843094,0.919840652,0.857002829
2017,E14000995,Thurrock,78154,East,C,Conservative,19880,39.51%,50316,C,345,0.69%,0.463039999,0.921782634,0.85364446
